row,title_lat_norm
0,aparajita
1,amara bhayera rakte ra nano
2,amara apanara cheya়e apana ye jana
3,volo na volo na olo sai
4,kena cha ndini rate megha ase chaya়a ka re
5,kena karuna sure hrridaya় pure vajiche va nshari
6,kichu dure thaka kichu kache asa
7,ghumiya়e geche shranta ha ya়e amara ganera vulavuli
8,mrridula vaya়e vakula chaya়e
9,ja da়oya়ara jhumako te ki rupa khole
10,tomara mane phutave yave
11,priya় kothaya় tumi kona gahane
12,eso va ndhu phire eso bhola bhola abhimana
13,tomara mane phutave yave
14,more deke lao sei deshe
15,mukti pave
16,ai ami
17,kato shapna dekhechi
18,sajna sajana lyrics
19,megher niche meghera niche lyrics
20,bhalovasi tomaya
21,ruma jhuma ruma jhuma
22,pablo s rock song
23,pablo s nonsense number
24,amara valara kichu chilo na
25,harano padaka
26,amara sava katha mare geche haya kichui vala halo na tomaya
27,sajani sajani sajani
28,shaona asila phire se phire ela na
29,sundarigo dohai dohai mana karona
30,eso va ndhu phire eso bholo bholo abhimana
31,vahira duya়ara mora vandha he priya়
32,ami krrishnachuda়a hatama yadi hatama maya়ura pakha
33,nilamvari sha di pari nila yamunaya
34,sure o vanira mala diya়e tumi
35,kavi savara katha kaile
36,vagichaya vulavuli tui phula shakhate disane aji dola
37,nama nama nama vamladesha mama
38,duti pakhi duti tire
39,parana priya় kena ele avelaya়
40,eta jala o kajala chokhe
41,phula phagunera elo marashuma vane vane lagalo dola
42,aji nandalala mukhachanda nehari
43,cha ndera mata nirave eso priya়
44,pradipa nibhaya়e dao uthiya়ache cha nda
45,palasha phulera gelasa bhari
46,jivane amara yata ananda
47,marama katha gela sai marame mare
48,rakho rakho re jivane jivanavallabhe
49,tomara mane phutave yave
50,sita kona se sudura ashoka kanane
51,chada় chada় a nchala va ndhu yete dao
52,mora kusuma ha ya়e ka ndi ku njavane
53,na ya়na ye mora varana mane na
54,lukochuri khelate hari hara menecha amara sane
55,confusion
56,chokhera aloya dekhechilama
57,muche yaoya dinaguli amaya ye pichu dake
58,khuva janate ichche kare
59,va da sadha yage ekavara tomaya dekhi
60,ei mana jochanaya a nga bhijiye
61,yakhana thamave kolahala
62,tomara chokhete dhara pa de geche rata
63,yadi tomaya ami cha nda vali
64,ami yadi dakshinera janala
65,bhashara gana amara bhaiyera rakte ra nano
66,vaje svabhava
67,ami khajana devo naha
68,utha go bharata lakshmi utha adi jagata jana pujya
69,sakhi valo va ndhuyare nirajane
70,gana kavara kantha aramana alipha katha o sura aramana alipha
71,eka sundari maiya়a ek shundori maiyaa by band fanush
72,an mana an mana
73,alake kusuma na diyo shudhu shithila kavari va ndhiyo
74,na na go na koro na bhavana
75,kichu valava vale esechilema
76,amara jivanapatra uchchaliya madhuri karecha dana
77,he madhavi dvidha kena
78,tumi khushi thaka amara pane cheye cheye
79,vase achi he kave shuniva tomara vani
80,gane gane tava vandhana yaka tute
81,jivana yakhana chila phulera mato
82,jaya hoka jaya hoka nava arunodaya
83,ami yakhana ta nra duyare bhiksha nite yai
84,amara vela ye yaya sa njha velate
85,ei labhinu sa nga tava sundara he sundara
86,eki lavanye purna prana
87,alokera ei jharnadharaya dhuiye dao
88,nila a njanaghana pu njachayaya sam vrrita amvara
89,vishvavinarave vishvajana mohiche
90,ami cha nchala he
91,tumi ki kevalai chavi
92,tara vidaya়velara malakhani
93,yakhana bha nala milana mela
94,eso go jvele diya়e yao pradipakhani
95,mane ki dvidha rekhe gele chale
96,tumi kemana kare gana karo he guni
97,mama yauvananiku nje gahe pakhi
98,yakhana pa dave na mora payera chihna ei vate
99,katea katha chilea valivara vala halea na koto kotha cilo boliber
100,prajapati prajapati
101,shahara dakanama
102,chokh daknaam
103,sangbadik poribar
104,bangali daknaam
105,ahoban daknaam
106,dushopno daknaam
107,iccher chorachalan daknaam
108,romana daknaam
109,nodi daknaam
110,vehaya mana 2
111,tomara ichche gulo
112,ke yasa re bhati ga na vaiya
113,amara saptamira vikela
114,eka mutho roddura hate
115,jonaki gaya phisaphisa
116,elo vasanta dake pakhi
117,mane mane se janina aja ki bheve niyeche
118,priya mrrittika
119,bharasamya bharshammo
120,tomakei chai go ami tomake chai
121,gana guli go elomelo
122,capsule by 12th fret
123,amara shahara anupama raya
124,pratiksha
